iter	Passed	Remaining
845	1384	252
846	1386	250
847	1387	248
848	1388	246
849	1389	245
850	1391	243
851	1393	242
852	1394	240
853	1396	238
854	1397	236
855	1398	235
856	1399	233
857	1401	231
858	1402	230
859	1403	228
860	1404	226
861	1406	225
862	1408	223
863	1409	221
864	1410	220
865	1411	218
866	1412	216
867	1414	215
868	1415	213
869	1416	211
870	1418	210
871	1419	208
872	1421	206
873	1422	205
874	1424	203
875	1426	201
876	1428	200
877	1429	198
878	1430	196
879	1431	195
880	1433	193
881	1434	191
882	1435	190
883	1437	188
884	1438	186
885	1440	185
886	1441	183
887	1442	181
888	1444	180
889	1445	178
890	1446	176
891	1447	175
892	1449	173
893	1450	171
894	1451	170
895	1452	168
896	1454	167
897	1455	165
898	1456	163
899	1458	162
900	1459	160
901	1460	158
902	1461	157
903	1462	155
904	1464	153
905	1465	152
906	1466	150
907	1468	148
908	1469	147
909	1470	145
910	1471	143
911	1472	142
912	1474	140
913	1475	138
914	1476	137
915	1477	135
916	1478	133
917	1479	132
918	1480	130
919	1482	128
920	1483	127
921	1484	125
922	1485	123
923	1487	122
924	1488	120
925	1489	119
926	1490	117
927	1491	115
928	1492	114
929	1494	112
930	1495	110
931	1497	109
932	1498	107
933	1499	105
934	1500	104
935	1501	102
936	1503	101
937	1504	99
938	1505	97
939	1506	96
940	1507	94
941	1508	92
942	1510	91
943	1511	89
944	1513	88
945	1514	86
946	1515	84
947	1516	83
948	1517	81
949	1519	79
950	1520	78
951	1521	76
952	1522	75
953	1523	73
954	1525	71
955	1527	70
956	1528	68
957	1529	67
958	1530	65
959	1531	63
960	1532	62
961	1533	60
962	1535	58
963	1536	57
964	1537	55
965	1538	54
966	1540	52
967	1541	50
968	1542	49
969	1543	47
970	1545	46
971	1547	44
972	1548	42
973	1549	41
974	1550	39
975	1552	38
976	1553	36
977	1555	34
978	1556	33
979	1557	31
980	1558	30
981	1560	28
982	1561	27
983	1562	25
984	1564	23
985	1565	22
986	1566	20
987	1568	19
988	1569	17
989	1571	15
990	1572	14
991	1573	12
992	1574	11
993	1575	9
994	1577	7
995	1578	6
996	1579	4
997	1580	3
998	1582	1
999	1584	0
